Battery History (2% used, 106KB used of 4096KB, 119 strings using 7398):
                    0 (14) RESET:TIME: 2025-08-23-03-26-39
                    0 (1) 040 status=charging health=good plug=usb temp=334 volt=3 charge=1800 modemRailChargemAh=0 wifiRailChargemAh=0 +running +sensor +plugged data_conn=nr phone_signal_strength=poor brightness=medium +charging +usb_data wifi_signal_strength=1 wifi_suppl=disconn +ble_scan +cellular_high_tx_power gps_signal_quality=good
                    0 (2) 040 -cellular_high_tx_power top=u0a355:"com.android.launcher"
                    0 (2) 040 user=0:"0"
                    0 (2) 040 userfg=0:"0"
                +23ms (2) 040 +wake_lock=1001:"*telephony-radio*"
                +24ms (1) 040 -wake_lock
                +24ms (2) 040 +wake_lock=1000:"*telephony-radio*"
                +32ms (1) 040 -wake_lock
                +32ms (2) 040 +wake_lock=1001:"*telephony-radio*"
                +33ms (2) 040 stats=0:"reset"
                +33ms (1) 040 -wake_lock
               +140ms (2) 040 +wake_lock=1001:"*telephony-radio*"
               +141ms (1) 040 -wake_lock
               +141ms (2) 040 +wake_lock=1000:"*telephony-radio*"
               +149ms (1) 040 -wake_lock
               +149ms (2) 040 +wake_lock=1001:"*telephony-radio*"
               +149ms (2) 040 stats=0:"dump"
               +149ms (1) 040 -wake_lock
               +353ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
               +561ms (1) 040 -wake_lock
             +1s632ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
             +1s836ms (1) 040 -wake_lock
             +4s249ms (2) 040 wakeupap=u0a286:""
             +4s249ms (1) 040 +mobile_radio
             +4s359ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
             +4s614ms (1) 040 -wake_lock
             +4s632ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
             +4s836ms (1) 040 -wake_lock
             +6s991ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
             +7s200ms (1) 040 -wake_lock
             +9s710ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
             +9s912ms (1) 040 -wake_lock
            +10s783ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
            +10s987ms (1) 040 -wake_lock
            +12s270ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
            +12s472ms (1) 040 -wake_lock
            +12s951ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
            +13s154ms (1) 040 -wake_lock
            +13s510ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
            +13s715ms (1) 040 -wake_lock
            +13s822ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
            +14s027ms (1) 040 -wake_lock
            +15s371ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
            +15s573ms (1) 040 -wake_lock
            +18s030ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
            +18s233ms (1) 040 -wake_lock
            +20s586ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
            +20s788ms (1) 040 -wake_lock
            +23s632ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
            +23s835ms (1) 040 -wake_lock
            +25s986ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
            +26s191ms (1) 040 -wake_lock
            +26s830ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
            +27s034ms (1) 040 -wake_lock
            +29s020ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
            +29s227ms (1) 040 -wake_lock
            +30s831ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
            +31s034ms (1) 040 -wake_lock
            +31s284ms (1) 040 -mobile_radio
            +31s292ms (2) 040 +wake_lock=1001:"*telephony-radio*"
            +31s293ms (1) 040 -wake_lock
            +31s294ms (2) 040 +wake_lock=1000:"*telephony-radio*"
            +31s303ms (1) 040 -wake_lock
            +31s304ms (2) 040 +wake_lock=1001:"*telephony-radio*"
            +31s304ms (2) 040 stats=0:"modem-data"
            +31s305ms (1) 040 -wake_lock
            +31s320ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
            +31s558ms (1) 040 -wake_lock
            +32s346ms (2) 040 wakeupap=u0a411:""
            +32s346ms (1) 040 +mobile_radio
            +32s354ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
            +32s696ms (1) 040 -wake_lock
            +32s949ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
            +33s151ms (1) 040 -wake_lock
            +35s362ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
            +35s651ms (1) 040 -wake_lock
            +38s463ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
            +38s669ms (1) 040 -wake_lock
            +39s151ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
            +39s353ms (1) 040 -wake_lock
            +41s502ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
            +41s707ms (1) 040 -wake_lock
            +43s151ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
            +43s354ms (1) 040 -wake_lock
            +47s151ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
            +47s355ms (1) 040 -wake_lock
            +47s580ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
            +47s785ms (1) 040 -wake_lock
            +49s203ms (1) 040 -mobile_radio
            +49s210ms (2) 040 +wake_lock=1001:"*telephony-radio*"
            +49s211ms (1) 040 -wake_lock
            +49s212ms (2) 040 +wake_lock=1000:"*telephony-radio*"
            +49s223ms (1) 040 -wake_lock
            +49s223ms (2) 040 +wake_lock=1001:"*telephony-radio*"
            +49s224ms (1) 040 -wake_lock
            +49s225ms (2) 040 stats=0:"modem-data"
            +49s235ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
            +49s470ms (1) 040 -wake_lock
            +50s274ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
            +50s485ms (1) 040 -wake_lock
            +51s553ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
            +51s760ms (1) 040 -wake_lock
            +55s393ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
            +55s609ms (1) 040 -wake_lock
          +1m01s812ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +1m02s017ms (1) 040 -wake_lock
          +1m08s210ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +1m08s415ms (1) 040 -wake_lock
          +1m08s963ms (2) 040 wakeupap=u0a411:""
          +1m08s963ms (1) 040 +mobile_radio
          +1m09s081ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +1m09s338ms (1) 040 -wake_lock
          +1m10s711ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +1m10s913ms (1) 040 -wake_lock
          +1m13s208ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +1m13s410ms (1) 040 -wake_lock
          +1m15s709ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +1m15s911ms (1) 040 -wake_lock
          +1m18s209ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +1m18s415ms (1) 040 -wake_lock
          +1m20s709ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +1m20s912ms (1) 040 -wake_lock
          +1m23s211ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +1m23s414ms (1) 040 -wake_lock
          +1m25s711ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +1m25s915ms (1) 040 -wake_lock
          +1m28s209ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +1m28s412ms (1) 040 -wake_lock
          +1m30s709ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +1m30s911ms (1) 040 -wake_lock
          +1m32s580ms (2) 040 +wake_lock=1001:"*telephony-radio*"
          +1m32s581ms (1) 040 -wake_lock
          +1m32s581ms (2) 040 +wake_lock=1000:"*telephony-radio*"
          +1m32s595ms (1) 040 -wake_lock
          +1m32s595ms (2) 040 +wake_lock=1001:"*telephony-radio*"
          +1m32s596ms (2) 040 stats=0:"procstate-change"
          +1m32s597ms (1) 040 -wake_lock
          +1m33s209ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +1m33s414ms (1) 040 -wake_lock
          +1m35s711ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +1m35s916ms (1) 040 -wake_lock
          +1m36s923ms (2) 040 +wake_lock=1001:"RILJ_ACK_WL"
          +1m37s128ms (1) 040 -wake_lock
